state,date,unemployment
Alaska,2010-01-01,9.3
Alaska,2010-02-01,9.6
Alaska,2010-03-01,9.5
Alaska,2010-04-01,8.5
Alaska,2010-05-01,8
Alaska,2010-06-01,7.9
Alaska,2010-07-01,7.2
Alaska,2010-08-01,7
Alaska,2010-09-01,7.1
Alaska,2010-10-01,7.4
Alaska,2010-11-01,8.2
Alaska,2010-12-01,8.4
Alaska,2011-01-01,9
Alaska,2011-02-01,8.9
Alaska,2011-03-01,8.6
Alaska,2011-04-01,8
Alaska,2011-05-01,7.6
Alaska,2011-06-01,7.8
Alaska,2011-07-01,7
Alaska,2011-08-01,6.7
Alaska,2011-09-01,7
Alaska,2011-10-01,7.1
Alaska,2011-11-01,7.6
Alaska,2011-12-01,8
Alaska,2012-01-01,8.3
Alaska,2012-02-01,8.3
Alaska,2012-03-01,8.1
Alaska,2012-04-01,7.4
Alaska,2012-05-01,7.2
Alaska,2012-06-01,7.4
Alaska,2012-07-01,6.8
Alaska,2012-08-01,6.2
Alaska,2012-09-01,6.2
Alaska,2012-10-01,6.4
Alaska,2012-11-01,6.9
Alaska,2012-12-01,7.5
Alaska,2013-01-01,8.3
Alaska,2013-02-01,7.9
Alaska,2013-03-01,7.5
Alaska,2013-04-01,7
Alaska,2013-05-01,6.9
Alaska,2013-06-01,7.2
Alaska,2013-07-01,6.4
Alaska,2013-08-01,6
Alaska,2013-09-01,6.2
Alaska,2013-10-01,6.7
Alaska,2013-11-01,7
Alaska,2013-12-01,6.9
Alaska,2014-01-01,7.7
Alaska,2014-02-01,8
Alaska,2014-03-01,7.7
Alaska,2014-04-01,6.8
Alaska,2014-05-01,6.7
Alaska,2014-06-01,6.9
Alaska,2014-07-01,6.4
Alaska,2014-08-01,6.1
Alaska,2014-09-01,6
Alaska,2014-10-01,6
Alaska,2014-11-01,6.4
Alaska,2014-12-01,6.3
Alaska,2015-01-01,7
Alaska,2015-02-01,7.1
Alaska,2015-03-01,6.9
Alaska,2015-04-01,6.4
Alaska,2015-05-01,6.3
Alaska,2015-06-01,6.4
Alaska,2015-07-01,5.7
Alaska,2015-08-01,5.3
Alaska,2015-09-01,5.5
Alaska,2015-10-01,6
Alaska,2015-11-01,6.4
Alaska,2015-12-01,6.6
Alaska,2016-01-01,7
Alaska,2016-02-01,7.3
Alaska,2016-03-01,7.1
Alaska,2016-04-01,6.8
Alaska,2016-05-01,6.4
Alaska,2016-06-01,6.7
Alaska,2016-07-01,6.1
Alaska,2016-08-01,5.8
Alaska,2016-09-01,6.2
Alaska,2016-10-01,6.3
Alaska,2016-11-01,6.5
Alaska,2016-12-01,6.8
Alaska,2017-01-01,7.5
Alaska,2017-02-01,7.4
Alaska,2017-03-01,7
Alaska,2017-04-01,6.6
Alaska,2017-05-01,6.3
Alaska,2017-06-01,6.5
Alaska,2017-07-01,6.1
Alaska,2017-08-01,5.9
Alaska,2017-09-01,5.9
Alaska,2017-10-01,5.9
Alaska,2017-11-01,6.4
Alaska,2017-12-01,6.6
Alaska,2018-01-01,7.3
Alaska,2018-02-01,7.2
Alaska,2018-03-01,6.8
Alaska,2018-04-01,6.3
Alaska,2018-05-01,5.7
Alaska,2018-06-01,6.1
Alaska,2018-07-01,5.4
Alaska,2018-08-01,5.1
Alaska,2018-09-01,5.1
Alaska,2018-10-01,5.4
Alaska,2018-11-01,5.8
Alaska,2018-12-01,6.2
Alaska,2019-01-01,7.1
Alaska,2019-02-01,6.6
Alaska,2019-03-01,6.5
Alaska,2019-04-01,5.7
Alaska,2019-05-01,5.5
Alaska,2019-06-01,5.8
Alaska,2019-07-01,5.3
Alaska,2019-08-01,4.9
Alaska,2019-09-01,4.8
Alaska,2019-10-01,4.9
Alaska,2019-11-01,5.3
Alaska,2019-12-01,5.4
Alaska,2020-01-01,6
Alaska,2020-02-01,5.7
Alaska,2020-03-01,7
Alaska,2020-04-01,11.8
Alaska,2020-05-01,12.1
Alaska,2020-06-01,11.2
Alaska,2020-07-01,10.4
Alaska,2020-08-01,7.3
Alaska,2020-09-01,7.4
Alaska,2020-10-01,6.8
Alaska,2020-11-01,7.2
Alaska,2020-12-01,7.2
Alaska,2021-01-01,7.5
Alaska,2021-02-01,7.7
Alaska,2021-03-01,7.7
Alaska,2021-04-01,7.5
Alaska,2021-05-01,6.9
Alaska,2021-06-01,7
Alaska,2021-07-01,6
Alaska,2021-08-01,5.2
Alaska,2021-09-01,5.2
Alaska,2021-10-01,5.2
Alaska,2021-11-01,5.4
Alaska,2021-12-01,5.3
Alaska,2022-01-01,6
Alaska,2022-02-01,5.6
Alaska,2022-03-01,4.9
Alaska,2022-04-01,4.5
Alaska,2022-05-01,4.1
Alaska,2022-06-01,4.3
Alaska,2022-07-01,3.6
Alaska,2022-08-01,3.1
Alaska,2022-09-01,3.2
Alaska,2022-10-01,3.5
Alaska,2022-11-01,4
Alaska,2022-12-01,3.9
Alaska,2023-01-01,4.6
Alaska,2023-02-01,4.7
Alaska,2023-03-01,4.3
Alaska,2023-04-01,4
Alaska,2023-05-01,4
Alaska,2023-06-01,4.4
Alaska,2023-07-01,3.8
Alaska,2023-08-01,3.8
Alaska,2023-09-01,4
Alaska,2023-10-01,4.2
Alaska,2023-11-01,4.5
Alaska,2023-12-01,4.6
Alaska,2024-01-01,5.2
Alaska,2024-02-01,5.5
Alaska,2024-03-01,4.8
Alaska,2024-04-01,4.5
Alaska,2024-05-01,4.2
Alaska,2024-06-01,4.9
Alaska,2024-07-01,4.4
Alabama,1976-01-01,7.5
Alabama,1976-02-01,7.7
Alabama,1976-03-01,6.3
Alabama,1976-04-01,5.7
Alabama,1976-05-01,5.2
Alabama,1976-06-01,7.4
Alabama,1976-07-01,7.2
Alabama,1976-08-01,7.1
Alabama,1976-09-01,6.7
Alabama,1976-10-01,6.6
Alabama,1976-11-01,6.7
Alabama,1976-12-01,6.6
Alabama,1977-01-01,7.7
Alabama,1977-02-01,8.4
Alabama,1977-03-01,7.4
Alabama,1977-04-01,6.7
Alabama,1977-05-01,6.5
Alabama,1977-06-01,8.4
Alabama,1977-07-01,7.7
Alabama,1977-08-01,7.6
Alabama,1977-09-01,6.7
Alabama,1977-10-01,6.4
Alabama,1977-11-01,6.4
Alabama,1977-12-01,6
Alabama,1978-01-01,7
Alabama,1978-02-01,7
Alabama,1978-03-01,6.2
Alabama,1978-04-01,5.5
Alabama,1978-05-01,5.3
Alabama,1978-06-01,7
Alabama,1978-07-01,6.7
Alabama,1978-08-01,6.7
Alabama,1978-09-01,6.5
Alabama,1978-10-01,6.2
Alabama,1978-11-01,6.5
Alabama,1978-12-01,6.7
Alabama,1979-01-01,7
Alabama,1979-02-01,7.6
Alabama,1979-03-01,6.9
Alabama,1979-04-01,6.5
Alabama,1979-05-01,6.3
Alabama,1979-06-01,8.1
Alabama,1979-07-01,7.4
Alabama,1979-08-01,7.9
Alabama,1979-09-01,7.2
Alabama,1979-10-01,7.3
Alabama,1979-11-01,7.2
Alabama,1979-12-01,7.1
Alabama,1980-01-01,8.1
Alabama,1980-02-01,8.2
Alabama,1980-03-01,7.6
Alabama,1980-04-01,7.7
Alabama,1980-05-01,8.1
Alabama,1980-06-01,9.6
Alabama,1980-07-01,9.7
Alabama,1980-08-01,9.8
Alabama,1980-09-01,9.1
Alabama,1980-10-01,9.3
Alabama,1980-11-01,9.3
Alabama,1980-12-01,9.1
Alabama,1981-01-01,10.3
Alabama,1981-02-01,10.6
Alabama,1981-03-01,9.7
Alabama,1981-04-01,9.3
Alabama,1981-05-01,9.5
Alabama,1981-06-01,11
Alabama,1981-07-01,10.6
Alabama,1981-08-01,10.9
Alabama,1981-09-01,11
Alabama,1981-10-01,11.5
Alabama,1981-11-01,11.8
Alabama,1981-12-01,12.3
Alabama,1982-01-01,13.3
Alabama,1982-02-01,13.7
Alabama,1982-03-01,13.1
Alabama,1982-04-01,12.9
Alabama,1982-05-01,12.9
Alabama,1982-06-01,14.4
Alabama,1982-07-01,14.4
Alabama,1982-08-01,14.5
Alabama,1982-09-01,14.2
Alabama,1982-10-01,14.5
Alabama,1982-11-01,14.8
Alabama,1982-12-01,14.8
Alabama,1983-01-01,15.6
Alabama,1983-02-01,15.6
Alabama,1983-03-01,14.5
Alabama,1983-04-01,13.8
Alabama,1983-05-01,13.5
Alabama,1983-06-01,14.7
Alabama,1983-07-01,13.7
Alabama,1983-08-01,13.9
Alabama,1983-09-01,13.3
Alabama,1983-10-01,12.8
Alabama,1983-11-01,12.3
Alabama,1983-12-01,12.1
Alabama,1984-01-01,12.8
Alabama,1984-02-01,12.8
Alabama,1984-03-01,11.8
Alabama,1984-04-01,11.3
Alabama,1984-05-01,10.6
Alabama,1984-06-01,11.6
Alabama,1984-07-01,11.6
Alabama,1984-08-01,11.5
Alabama,1984-09-01,10.8
Alabama,1984-10-01,10.5
Alabama,1984-11-01,10
Alabama,1984-12-01,10.1
Alabama,1985-01-01,10.9
